Product Name,Category,Description,Price,Stock Quantity,Supplier Information
Wireless Earbuds,Clothing,Perfect gift for all occasions,475.95,719,Apple
Bluetooth Speaker,Electronics,High-quality product with excellent features,362.26,520,Google
Smartphone,Sports,High-quality product with excellent features,449.96,824,Apple
Laptop,Automotive,Made from premium materials for long-lasting performance,435.26,787,Botto
4K Monitor,Books,Top-rated for its reliability and performance,388.6,104,Apple
Gaming Console,Clothing,Perfect gift for all occasions,403.07,181,Roboto
Smart Watch,Toys,Top-rated for its reliability and performance,469.77,529,Botto
Electric Toothbrush,Toys,Top-rated for its reliability and performance,210.99,460,Google
Hair Dryer,Electronics,Top-rated for its reliability and performance,280.08,817,Apple
Vacuum Cleaner,Electronics,Made from premium materials for long-lasting performance,182.29,245,Botto
Air Fryer,Books,Stylish design and comfortable to use,92.3,695,Google
Microwave Oven,Automotive,Energy-efficient and eco-friendly,385.91,694,Google
Blender,Toys,Made from premium materials for long-lasting performance,447.42,749,Botto
Coffee Maker,Clothing,"Compact and lightweight, perfect for travel",214.9,419,Roboto
Rice Cooker,Books,Top-rated for its reliability and performance,200.85,965,Botto
Yoga Mat,Home & Kitchen,Best in class and suitable for everyday use,123.3,904,Botto
Treadmill,Clothing,Best in class and suitable for everyday use,193.46,549,Botto
Running Shoes,Toys,Perfect gift for all occasions,107.2,812,Roboto
Tennis Racket,Electronics,Affordable and durable with great customer reviews,201.65,956,Apple
Mountain Bike,Groceries,"Compact and lightweight, perfect for travel",38.76,355,Roboto
Car Vacuum,Health,Top-rated for its reliability and performance,472.43,129,Mivi
Portable Charger,Clothing,Stylish design and comfortable to use,214.9,623,Mivi
Phone Case,Books,High-quality product with excellent features,462.54,239,Mivi
Laptop Stand,Home & Kitchen,"Compact and lightweight, perfect for travel",349.03,21,Mivi
Desk Lamp,Home & Kitchen,Made from premium materials for long-lasting performance,201.89,535,Botto
Office Chair,Electronics,High-quality product with excellent features,498.63,105,Apple
Standing Desk,Books,High-quality product with excellent features,278.83,346,Botto
Noise-canceling Headphones,Books,High-quality product with excellent features,43.2,99,Roboto
Wireless Mouse,Electronics,Stylish design and comfortable to use,388.95,298,Apple
Keyboard,Electronics,"Compact and lightweight, perfect for travel",348.71,777,Botto
LED Bulbs,Home & Kitchen,Energy-efficient and eco-friendly,409.56,328,Mivi
Smart Thermostat,Automotive,Stylish design and comfortable to use,312.66,457,Botto
Video Doorbell,Electronics,Made from premium materials for long-lasting performance,232.11,705,Botto
Security Camera,Health,Affordable and durable with great customer reviews,364.57,592,Apple
Electric Kettle,Groceries,"Compact and lightweight, perfect for travel",66.08,139,Apple
Pressure Cooker,Electronics,Top-rated for its reliability and performance,112.97,540,Botto
Ice Cream Maker,Home & Kitchen,Stylish design and comfortable to use,459.78,984,Roboto
Dishwasher,Clothing,"Compact and lightweight, perfect for travel",418.63,472,Apple
Refrigerator,Sports,High-quality product with excellent features,342.8,389,Apple
Washer-Dryer,Toys,Best in class and suitable for everyday use,368.34,795,Botto
Water Filter,Sports,Top-rated for its reliability and performance,33.46,493,Mivi
Air Purifier,Clothing,Highly recommended by experts and users alike,303.41,614,Roboto
Fitness Tracker,Groceries,Highly recommended by experts and users alike,208.2,87,Apple
Smart Scale,Sports,Highly recommended by experts and users alike,496.26,49,Roboto
Jump Rope,Beauty,Stylish design and comfortable to use,167.93,162,Mivi
Dumbbells,Health,High-quality product with excellent features,476.29,713,Google
Camping Tent,Sports,Top-rated for its reliability and performance,11.43,375,Roboto
Sleeping Bag,Sports,Top-rated for its reliability and performance,223.41,842,Apple
Drone,Beauty,Affordable and durable with great customer reviews,28.42,924,Apple
Action Camera,Automotive,Perfect gift for all occasions,46.39,966,Botto
Instant Camera,Health,High-quality product with excellent features,225.13,840,Apple
Photo Printer,Sports,Best in class and suitable for everyday use,121.33,332,Apple
Smart TV,Toys,Stylish design and comfortable to use,346.92,679,Apple
Streaming Stick,Automotive,"Compact and lightweight, perfect for travel",222.12,623,Apple
Portable Projector,Beauty,Stylish design and comfortable to use,336.06,569,Google
Robot Vacuum,Automotive,Highly recommended by experts and users alike,171.16,232,Google
Hair Straightener,Health,Stylish design and comfortable to use,64.67,150,Google
Electric Shaver,Electronics,Stylish design and comfortable to use,20.75,103,Apple
Face Mask,Automotive,Top-rated for its reliability and performance,385.83,198,Mivi
Essential Oil Diffuser,Toys,Affordable and durable with great customer reviews,475.22,603,Apple
Sunscreen,Beauty,Perfect gift for all occasions,157.72,808,Google
Lip Balm,Automotive,Highly recommended by experts and users alike,382.4,555,Mivi
